transactionDate,employee_employeeId,employee_employeeCode,employee_employeeName,paymentType,transactionDetails,amount
10/4/2020,,SSCS09,Lakshmi,Salaries paid to Staff,sweeper Lakshmi,2500
11/2/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
11/30/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
1/12/2020,,SSCS01,M.Nageswara Rao,Bonus paid to staff,M.Nageswara Rao,16000
1/4/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
2/3/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
3/7/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
4/4/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
5/11/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
6/7/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
7/6/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
8/1/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
9/6/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
10/4/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
11/2/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
12/6/2020,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
1/3/2021,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
2/6/2021,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
3/3/2021,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
4/7/2021,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
5/9/2021,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16000
6/6/2021,,SSCS01,M.Nageswara Rao,Salaries paid to Staff,M.Nageswara Rao,16500
1/11/2021,,SSCS01,M.Nageswara Rao,Bonus paid to staff,M.Nageswara Rao,16000
2/5/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,1120
10/12/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,60000
10/23/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,5000
10/24/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,5000
10/25/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,15000
10/29/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,20000
11/1/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,5000
11/2/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,15000
11/4/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,2000
11/5/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,20000
11/6/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,15000
11/7/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,20000
11/8/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,20000
11/8/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,10000
11/9/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,15000
11/13/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,2000
11/21/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,10000
12/19/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,54100
12/13/2020,,NIL,NIL,30% Enhanced Hamali paid in Bulk,30% Enhanced Hamali paid in Bulk,3500
1/12/2020,,NIL,NIL,Bonus paid to Hamalies,Hamalies,36210
1/27/2020,,NIL,NIL,Bonus paid to Hamalies,Palkol parcel lorry Pongal bonus,600
1/10/2021,,NIL,NIL,Bonus paid to Hamalies,Pongal Bonus,47090
1/12/2020,,NIL,NIL,Bonus paid to staff,Sweeper Lakshmi,2500
11/13/2020,,NIL,NIL,Bonus paid to staff,Deepavali Bonus,5300
1/30/2020,,NIL,NIL,Donations to Local Institutions,Padala Sri rama Navami Chanda,5000
2/1/2020,,NIL,NIL,Donations to Local Institutions,Antharvedi chanda,1130
3/1/2020,,NIL,NIL,Donations to Local Institutions,Donations Sri Rama Navami,1500
3/17/2020,,NIL,NIL,Donations to Local Institutions,Donation to Padala,200
7/12/2020,,NIL,NIL,Donations to Local Institutions,Chanda,1100
7/22/2020,,NIL,NIL,Donations to Local Institutions,Chanda,500
8/19/2020,,NIL,NIL,Donations to Local Institutions,Chavithi,250
8/20/2020,,NIL,NIL,Donations to Local Institutions,Old Age Home,800
10/11/2020,,NIL,NIL,Donations to Local Institutions,"SC,ST Donation",1000
10/22/2020,,NIL,NIL,Donations to Local Institutions,Electrical Department dussera mamulu,2000
10/24/2020,,NIL,NIL,Donations to Local Institutions,Vizelence Department mamulu,5000
12/12/2020,,NIL,NIL,Donations to Local Institutions,Chanda,1500
12/13/2020,,NIL,NIL,Donations to Local Institutions,Sivalayam Donation,2000
12/14/2020,,NIL,NIL,Donations to Local Institutions,Bhavanilu Chanda,1000
1/3/2021,,SSCS04,CH.V.N.Dhanalakshmi,Salaries paid to Staff,CH.V.N.Dhanalakshmi,5000
2/6/2021,,SSCS04,CH.V.N.Dhanalakshmi,Salaries paid to Staff,CH.V.N.Dhanalakshmi,5000
3/3/2021,,SSCS04,CH.V.N.Dhanalakshmi,Salaries paid to Staff,CH.V.N.Dhanalakshmi,5000
4/7/2021,,SSCS04,CH.V.N.Dhanalakshmi,Salaries paid to Staff,CH.V.N.Dhanalakshmi,5000
5/9/2021,,SSCS04,CH.V.N.Dhanalakshmi,Salaries paid to Staff,CH.V.N.Dhanalakshmi,5000
6/6/2021,,SSCS04,CH.V.N.Dhanalakshmi,Salaries paid to Staff,CH.V.N.Dhanalakshmi,5000
1/12/2020,,SSCS07,K.ChakradharaRao,Bonus paid to staff,K.ChakradharaRao,5000
1/11/2021,,SSCS07,K.ChakradharaRao,Bonus paid to staff,K.ChakradharaRao,8500
1/4/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
12/16/2020,,NIL,NIL,Donations to Local Institutions,Dalitha Satta,1000
12/16/2020,,NIL,NIL,Donations to Local Institutions,Chanda,500
12/17/2020,,NIL,NIL,Donations to Local Institutions,Panchayiti Gumasta mamulu,500
12/18/2020,,NIL,NIL,Donations to Local Institutions,Chasti Chnada,3605
1/3/2021,,NIL,NIL,Donations to Local Institutions,Chanda,1000
1/9/2021,,NIL,NIL,Donations to Local Institutions,Velakarlu Chanda,2000
1/10/2021,,NIL,NIL,Donations to Local Institutions,Sales Tax mamulu,1000
1/10/2021,,NIL,NIL,Donations to Local Institutions,Incom Tax Mamulu,2000
1/24/2021,,NIL,NIL,Donations to Local Institutions,Doantion,500
2/21/2021,,NIL,NIL,Donations to Local Institutions,Anjaneyulu chanda,1500
2/28/2021,,NIL,NIL,Donations to Local Institutions,Anthirvedi Chanda,1120
4/2/2021,,NIL,NIL,Donations to Local Institutions,Jagajjeevan Rao Padala Chanda,1500
5/16/2021,,NIL,NIL,Donations to Local Institutions,chanda,1500
6/11/2021,,NIL,NIL,Donations to Local Institutions,dalitha charitable chanda,1000
11/15/2020,,NIL,NIL,Formalities paid to others,SalesTax Durga,2000
9/15/2020,,NIL,NIL,Formalities paid to others,To MNR adjustment,1500
3/12/2021,,NIL,NIL,Formalities paid to others,Sales Tax Mamulu,500
4/3/2021,,NIL,NIL,Formalities paid to others,MRT ELR Electrical Maintanence,3000
4/29/2021,,NIL,NIL,Formalities paid to others,Factor Inspector,5000
2/29/2020,,NIL,NIL,Labor charges paid,Ladies cooli 9 people,4500
3/8/2020,,NIL,NIL,Labor charges paid,Labor for 2 cooli,700
3/15/2020,,NIL,NIL,Labor charges paid,Labor 3 ladies,1200
3/16/2020,,NIL,NIL,Labor charges paid,Labor 2 gents,1000
3/23/2020,,NIL,NIL,Labor charges paid,Cement work 3 labor,1700
5/25/2020,,NIL,NIL,Labor charges paid,Ladies 3 Plant Cleaning,1200
6/28/2020,,NIL,NIL,Labor charges paid,Ladies 6 Members,2400
7/29/2020,,NIL,NIL,Labor charges paid,Auto Kirayi Ammonia Gas,350
8/21/2020,,NIL,NIL,Labor charges paid,Plant Claening,1000
9/24/2020,,NIL,NIL,Labor charges paid,kalupu mandu Spray,200
10/15/2020,,NIL,NIL,Labor charges paid,Plant Cleaning,800
12/26/2020,,NIL,NIL,Labor charges paid,Advance by mestri/vij,500
12/27/2020,,NIL,NIL,Labor charges paid, Vij/Mestri labour charges,4500
12/27/2020,,NIL,NIL,Labor charges paid,Ladies-11,4400
1/10/2021,,NIL,NIL,Labor charges paid,Ravi Vijayawada,300
1/23/2021,,NIL,NIL,Labor charges paid,Welder Advance,5000
1/23/2021,,NIL,NIL,Labor charges paid,Ravi advance,500
1/27/2021,,NIL,NIL,Labor charges paid,Ladies labour10*400/-,4000
3/14/2021,,NIL,NIL,Labor charges paid,Ravi VIJ Vadakam,500
3/17/2021,,NIL,NIL,Labor charges paid,CHA Hamali Mamulu Paid,420
3/24/2021,,NIL,NIL,Labor charges paid, Mestri Ravi/VIJ,500
5/22/2021,,NIL,NIL,Labor charges paid,AVR/AMP Sample charges,100
6/6/2021,,NIL,NIL,Labor charges paid,koolilu,4000
4/8/2020,,NIL,NIL,Medical charges paid to staff,hamali medical,200
5/2/2020,,NIL,NIL,Medical charges paid to staff,Hamali Medical,500
5/11/2020,,NIL,NIL,Medical charges paid to staff,Hamali Medical,400
8/25/2020,,NIL,NIL,Medical charges paid to staff,Kasi,200
2/1/2021,,NIL,NIL,Medical charges paid to staff,RG Prasad,300
6/4/2021,,NIL,NIL,Medical charges paid to staff,jattu kasi+Naga Raju Medical expences,1000
2/16/2020,,NIL,NIL,Miscellaneous Expenditure,Shortage of notes from parties,2000
7/29/2020,,NIL,NIL,Miscellaneous Expenditure,Soaps&AgaraBathi,160
1/17/2021,,NIL,NIL,Miscellaneous Expenditure,Palakol Lorry Pongal Bonus,1000
1/20/2021,,NIL,NIL,Miscellaneous Expenditure,Panchayathi Pongal Mamulu,200
3/24/2020,,NIL,NIL,Miscellaneous Expenditure,HKT Mamullu,450
1/25/2020,,NIL,NIL,Office Equipment,Kata purchased,15000
2/11/2021,,NIL,NIL,Office Equipment,Calculator,280
1/1/2020,,NIL,NIL,Office maintainance,Petrol,100
1/18/2020,,NIL,NIL,Office maintainance,Sales tax staff pongal bonus,500
1/23/2020,,NIL,NIL,Office maintainance,AMC License Assesment,5000
1/27/2020,,NIL,NIL,Office maintainance,Agarabattis,50
1/27/2020,,NIL,NIL,Office maintainance,Dish TV recharge,1340
1/27/2020,,NIL,NIL,Office maintainance,Mirror fo MD,400
1/27/2020,,NIL,NIL,Office maintainance,TV repair,1000
2/4/2020,,NIL,NIL,Office maintainance,Rampachodavaram TA payments,1000
2/4/2020,,NIL,NIL,Office maintainance,Rampachodavaram GCC Mamulu,4000
2/5/2020,,NIL,NIL,Office maintainance,pooja payments,400
2/5/2020,,NIL,NIL,Office maintainance,Auto kirai,250
2/23/2020,,NIL,NIL,Office maintainance,Computer cable,100
3/1/2020,,NIL,NIL,Office maintainance,Petrol,100
3/19/2020,,NIL,NIL,Office maintainance,Water Bottles,140
3/26/2020,,NIL,NIL,Office maintainance,Agarabattis,150
3/26/2020,,NIL,NIL,Office maintainance,Masks,600
3/28/2020,,NIL,NIL,Office maintainance,Identity Cards,300
4/5/2020,,NIL,NIL,Office maintainance,Sanitizers,600
4/5/2020,,NIL,NIL,Office maintainance,Surf&Glasses,50
4/21/2020,,NIL,NIL,Office maintainance,Note Books,673
4/22/2020,,NIL,NIL,Office maintainance,Sanitizers,700
4/28/2020,,NIL,NIL,Office maintainance,Catridge Refill,600
5/6/2020,,NIL,NIL,Office maintainance,Invertor Repair,500
5/7/2020,,NIL,NIL,Office maintainance,News Paper Bill,220
5/25/2020,,NIL,NIL,Office maintainance,Inverter Repair,400
5/25/2020,,NIL,NIL,Office maintainance,Platfoam Books,1600
5/25/2020,,NIL,NIL,Office maintainance,Saanitizers&Bottels,400
6/8/2020,,NIL,NIL,Office maintainance,Sanitizers,200
6/8/2020,,NIL,NIL,Office maintainance,Telephone bill paid,910
6/11/2020,,NIL,NIL,Office maintainance,Plastic Covers&Tea glasses,150
6/26/2020,,NIL,NIL,Office maintainance,Agarabathi,200
6/27/2020,,NIL,NIL,Office maintainance,Soaps,40
7/2/2020,,NIL,NIL,Office maintainance,Sanitezers,980
7/8/2020,,NIL,NIL,Office maintainance,News paper bill,210
7/12/2020,,NIL,NIL,Office maintainance,Masklu,355
7/14/2020,,NIL,NIL,Office maintainance,Sanitizers,800
7/14/2020,,NIL,NIL,Office maintainance,Sazitezer Spray Bottle,300
7/17/2020,,NIL,NIL,Office maintainance,Pens,150
7/30/2020,,NIL,NIL,Office maintainance,Hand Wash Bottle,210
8/13/2020,,NIL,NIL,Office maintainance,News Paper Bill,210
8/18/2020,,NIL,NIL,Office maintainance,Sanitizer Bottle,70
8/19/2020,,NIL,NIL,Office maintainance,LapTap Repair,500
8/21/2020,,NIL,NIL,Office maintainance,Chavithi Pooja Samanlu,900
8/30/2020,,NIL,NIL,Office maintainance,Invertor,4550
9/7/2020,,NIL,NIL,Office maintainance,Invertor Battery,11000
9/13/2020,,NIL,NIL,Office maintainance,Spike Magnet,450
10/3/2020,,NIL,NIL,Office maintainance,Purukosa,500
10/11/2020,,NIL,NIL,Office maintainance,Coconuts,40
10/11/2020,,NIL,NIL,Office maintainance,Net Adpter,1000
10/11/2020,,NIL,NIL,Office maintainance,System Monitor,2200
10/26/2020,,NIL,NIL,Office maintainance,Induction Stove,1500
10/28/2020,,NIL,NIL,Office maintainance,News Paper bill,230
11/4/2020,,NIL,NIL,Office maintainance,Balaji Vij Travelling,500
11/11/2020,,NIL,NIL,Office maintainance,Electrical Lights,600
11/11/2020,,NIL,NIL,Office maintainance,News paper bill,230
11/13/2020,,NIL,NIL,Office maintainance,Agarabathi,200
11/14/2020,,NIL,NIL,Office maintainance,Pooja Samanlu,600
11/29/2020,,NIL,NIL,Office maintainance,Computer KeyBoard & Mouse,920
12/3/2020,,NIL,NIL,Office maintainance,News Paper bill,230
12/14/2020,,NIL,NIL,Office maintainance,Buckets&Samanlu,1100
12/18/2020,,NIL,NIL,Office maintainance,Tube Lights,650
12/25/2020,,NIL,NIL,Office maintainance,Computer usb cable,500
12/26/2020,,NIL,NIL,Office maintainance,Catrizd refills,600
1/9/2021,,NIL,NIL,Office maintainance,Printer Cable,150
1/9/2021,,NIL,NIL,Office maintainance,Masket Koils,75
1/10/2021,,NIL,NIL,Office maintainance,BathRoom samanlu,440
1/11/2021,,NIL,NIL,Subscription to News papers,News Paper Bill,230
1/22/2021,,NIL,NIL,Office maintainance,Petrol,100
1/23/2021,,NIL,NIL,Office maintainance,Car battery charging,150
1/30/2021,,NIL,NIL,Office maintainance,A-4 Sheets box,1620
2/5/2021,,NIL,NIL,Office maintainance,Agar bathies,120
2/28/2021,,NIL,NIL,Office maintainance,Jaggery Muhurtham mamulu,1500
4/10/2021,,NIL,NIL,Subscription to News papers,News paper bill,230
4/16/2021,,NIL,NIL,Office maintainance,Coconuts+Agarabathies,160
4/26/2021,,NIL,NIL,Interenet Bill paid,Net bill paid 1year,5750
5/7/2021,,NIL,NIL,Office maintainance,Coconuts,40
5/10/2021,,NIL,NIL,Subscription to News papers,News Paper BiLL,230
5/16/2021,,NIL,NIL,Office maintainance,Identity cards,1200
5/29/2021,,NIL,NIL,Office maintainance,Agara batties+chips,180
1/2/2020,,NIL,NIL,Plant Maintenance,Electrical items,100
1/4/2020,,NIL,NIL,Plant Maintenance,Challan payments,50
1/27/2020,,NIL,NIL,Plant Maintenance,Electrical items,354
2/6/2020,,NIL,NIL,Plant Maintenance,Compressor welding Ramu,1200
2/6/2020,,NIL,NIL,Plant Maintenance,Pipe welding,50
2/9/2020,,NIL,NIL,Plant Maintenance,Ravi cooli for 2 days,2000
2/9/2020,,NIL,NIL,Plant Maintenance,Petrol for generator,100
2/9/2020,,NIL,NIL,Plant Maintenance,Ravi travelling charges,500
2/23/2020,,NIL,NIL,Plant Maintenance,Electrical items,1000
2/23/2020,,NIL,NIL,Plant Maintenance,Two labor charges,500
2/24/2020,,NIL,NIL,Plant Maintenance,Compressor oil,2800
3/2/2020,,NIL,NIL,Plant Maintenance,Motor items,300
3/4/2020,,NIL,NIL,Plant Maintenance,Diesel oil,600
3/5/2020,,NIL,NIL,Plant Maintenance,Gunny bags,400
3/6/2020,,NIL,NIL,Plant Maintenance,Ladies cooli,6000
3/8/2020,,NIL,NIL,Plant Maintenance,Welding rods box,250
3/9/2020,,NIL,NIL,Plant Maintenance,Condensor pipe welding Ramu,1500
3/10/2020,,NIL,NIL,Plant Maintenance,Iron plates,100
3/10/2020,,NIL,NIL,Plant Maintenance,Condensor pipe welding Ramu,600
3/11/2020,,NIL,NIL,Plant Maintenance,Mekulu,570
3/14/2020,,NIL,NIL,Plant Maintenance,Water proofing gum,1300
3/14/2020,,NIL,NIL,Plant Maintenance,Tap items,610
3/14/2020,,NIL,NIL,Plant Maintenance,Mekulu,550
3/15/2020,,NIL,NIL,Plant Maintenance,Gangayya machine rent,2000
3/15/2020,,NIL,NIL,Plant Maintenance,Vadrangi mestrulu cooli,5950
3/15/2020,,NIL,NIL,Plant Maintenance,Cement bags kirai,500
3/16/2020,,NIL,NIL,Plant Maintenance,Water proofing loquid,900
3/16/2020,,NIL,NIL,Plant Maintenance,Sand,8200
3/16/2020,,NIL,NIL,Plant Maintenance,Gangayya mission,1000
3/16/2020,,NIL,NIL,Plant Maintenance,Mekulu,460
3/17/2020,,NIL,NIL,Plant Maintenance,Cheepurlu,100
3/18/2020,,NIL,NIL,Plant Maintenance,Gangayya cooli,2000
3/18/2020,,NIL,NIL,Plant Maintenance,Sand,4100
3/18/2020,,NIL,NIL,Plant Maintenance,Vadrangi mestry cooli,1000
3/18/2020,,NIL,NIL,Plant Maintenance,Cement bags kirai,200
3/19/2020,,NIL,NIL,Plant Maintenance,Cement bags,9700
3/19/2020,,NIL,NIL,Plant Maintenance,Gangayya,10000
3/20/2020,,NIL,NIL,Plant Maintenance,Mekulu,940
3/23/2020,,NIL,NIL,Plant Maintenance,Vadrangi mestry cooli,7700
4/4/2020,,NIL,NIL,Plant Maintenance,Dummys,250
4/4/2020,,NIL,NIL,Plant Maintenance,Petrol,100
4/4/2020,,NIL,NIL,Plant Maintenance,Welding Siva,1600
4/5/2020,,NIL,NIL,Plant Maintenance,Gas Auto Kirayi,500
4/5/2020,,NIL,NIL,Plant Maintenance,Petrol,100
4/6/2020,,NIL,NIL,Plant Maintenance,Petrol,50
4/6/2020,,NIL,NIL,Plant Maintenance,Welding Siva,2500
4/9/2020,,NIL,NIL,Plant Maintenance,Diesel oil,600
4/10/2020,,NIL,NIL,Plant Maintenance,Compressor oil,3100
4/15/2020,,NIL,NIL,Plant Maintenance,Gas Auto kirayi,300
4/17/2020,,NIL,NIL,Plant Maintenance,Welding Work,1500
4/18/2020,,NIL,NIL,Plant Maintenance,Petrol,100
4/18/2020,,NIL,NIL,Plant Maintenance,Pipes Kirayi BVRM,1200
4/19/2020,,NIL,NIL,Plant Maintenance,Oxygen Gas Cylender,2000
4/22/2020,,NIL,NIL,Plant Maintenance,Welder,2000
4/24/2020,,NIL,NIL,Plant Maintenance,Oxygen Gas Auto Kirayi,600
4/24/2020,,NIL,NIL,Plant Maintenance,welding Work,11000
4/26/2020,,NIL,NIL,Plant Maintenance,Welding Work,3600
5/13/2020,,NIL,NIL,Plant Maintenance,Motor Watchers,100
5/13/2020,,NIL,NIL,Plant Maintenance,Petrol,200
5/18/2020,,NIL,NIL,Plant Maintenance,Diesel oil,600
5/23/2020,,NIL,NIL,Plant Maintenance,Electrical Samanlu,2230
5/26/2020,,NIL,NIL,Plant Maintenance,Gas,500
5/28/2020,,NIL,NIL,Plant Maintenance,Plastic Wire,500
6/5/2020,,NIL,NIL,Plant Maintenance,Pipes,200
6/6/2020,,NIL,NIL,Plant Maintenance,Barakalu,600
6/6/2020,,NIL,NIL,Plant Maintenance, Diesel Oil,600
6/10/2020,,NIL,NIL,Plant Maintenance,Compressor oil,3100
6/18/2020,,NIL,NIL,Plant Maintenance,Muggu,150
6/18/2020,,NIL,NIL,Plant Maintenance,Tourch Light,540
6/19/2020,,NIL,NIL,Plant Maintenance,Transformer Insulater,450
6/27/2020,,NIL,NIL,Plant Maintenance,Sintex Water Tank Auto Kirayi,200
6/27/2020,,NIL,NIL,Plant Maintenance,Water Tank Sintex,7600
6/28/2020,,NIL,NIL,Plant Maintenance,Paints MD Garu,8000
6/28/2020,,NIL,NIL,Plant Maintenance,Pipes,1275
7/8/2020,,NIL,NIL,Plant Maintenance,Deisel oil,600
7/19/2020,,NIL,NIL,Plant Maintenance,Petrol,100
7/22/2020,,NIL,NIL,Plant Maintenance,Condencer Pipes welding,1700
7/29/2020,,NIL,NIL,Plant Maintenance,Ammonia Gas,11100
7/29/2020,,NIL,NIL,Plant Maintenance,Comkpressor Oil,3640
7/31/2020,,NIL,NIL,Plant Maintenance,Bulbs,850
8/12/2020,,NIL,NIL,Plant Maintenance,Deisel,600
8/12/2020,,NIL,NIL,Plant Maintenance,Pipe &Tap,490
8/24/2020,,NIL,NIL,Plant Maintenance,Pully Motor Reapir,500
8/31/2020,,NIL,NIL,Plant Maintenance,Motor Samanlu,1390
9/1/2020,,NIL,NIL,Plant Maintenance,Motor Samanlu,1490
9/1/2020,,NIL,NIL,Plant Maintenance,Welder,600
9/7/2020,,NIL,NIL,Plant Maintenance,Transformer Repair,1200
9/10/2020,,NIL,NIL,Plant Maintenance,Electrical Bulbs,2000
9/11/2020,,NIL,NIL,Plant Maintenance,Diesel,600
9/12/2020,,NIL,NIL,Plant Maintenance,Krank,500
9/12/2020,,NIL,NIL,Plant Maintenance,Motor,7800
9/12/2020,,NIL,NIL,Plant Maintenance,Motor Auto Lirayi,250
9/17/2020,,NIL,NIL,Plant Maintenance,Pipes Kirayi,800
9/17/2020,,NIL,NIL,Plant Maintenance,Welding samanlu,1000
9/18/2020,,NIL,NIL,Plant Maintenance,Oxygen Cylender Auto Kirayi,800
9/18/2020,,NIL,NIL,Plant Maintenance,Oxygen Cyllinder advance,5000
9/19/2020,,NIL,NIL,Plant Maintenance,welding work,3000
9/21/2020,,NIL,NIL,Plant Maintenance,1 Hp Opevwell Motor,4200
9/21/2020,,NIL,NIL,Plant Maintenance,2 Inch Covdencer Pipes,19800
9/21/2020,,NIL,NIL,Plant Maintenance,Oxygen cylender auto kirayi,200
9/21/2020,,NIL,NIL,Plant Maintenance,Welding samanlu,400
9/21/2020,,NIL,NIL,Plant Maintenance,Welding work,5200
9/27/2020,,NIL,NIL,Plant Maintenance,Pipe Bends,230
9/28/2020,,NIL,NIL,Plant Maintenance,Pipe Samanlu,450
9/28/2020,,NIL,NIL,Plant Maintenance,Water motor Poundry Work,1300
9/28/2020,,NIL,NIL,Plant Maintenance,Welding Work,600
10/1/2020,,NIL,NIL,Plant Maintenance,water pipes& Clamps,150
10/4/2020,,NIL,NIL,Plant Maintenance,Motor bill,600
10/8/2020,,NIL,NIL,Plant Maintenance,Water Motor samanlu,100
10/10/2020,,NIL,NIL,Plant Maintenance,Water motor samanlu,150
10/29/2020,,NIL,NIL,Plant Maintenance,Poundry Work,200
11/1/2020,,NIL,NIL,Plant Maintenance,Samanlu,100
11/1/2020,,NIL,NIL,Plant Maintenance,diesel oil,600
11/3/2020,,NIL,NIL,Plant Maintenance,Petrol,150
11/14/2020,,NIL,NIL,Plant Maintenance,Electrical Edge Fuse,100
11/16/2020,,NIL,NIL,Plant Maintenance,Bore Clamp,250
